measure,contrast,r_devexp,p_devexp
T1w_contrast,EDR_HC,-0.061068334,0.5854145854145855
T1w_contrast,EDBP_HC,0.10077541,0.4065934065934066
T1w_contrast,EDR_EDBP,-0.17374864,0.13186813186813187
sulc,EDR_HC,-0.04569779,0.48151848151848153
sulc,EDBP_HC,-0.008878476,0.8811188811188811
sulc,EDR_EDBP,-0.032753617,0.5664335664335665
thickness,EDR_HC,0.0660665,0.5674325674325674
thickness,EDBP_HC,0.17799418,0.056943056943056944
thickness,EDR_EDBP,-0.12263069,0.23576423576423577
area,EDR_HC,0.17586559,0.23276723276723277
area,EDBP_HC,0.11385316,0.33466533466533466
area,EDR_EDBP,0.047140222,0.7482517482517482
RND-gm,EDR_HC,0.16026574,0.1958041958041958
RND-gm,EDBP_HC,0.1720889,0.15384615384615385
RND-gm,EDR_EDBP,-0.008571459,0.957042957042957
RNI-gm,EDR_HC,0.12486105,0.24175824175824176
RNI-gm,EDBP_HC,0.12732273,0.3036963036963037
RNI-gm,EDR_EDBP,-0.008152064,0.945054945054945
RND-wm,EDR_HC,0.16389403,0.15284715284715283
RND-wm,EDBP_HC,0.22860499,0.03296703296703297
RND-wm,EDR_EDBP,-0.07143784,0.5234765234765235
RNI-wm,EDR_HC,0.16329752,0.2017982017982018
RNI-wm,EDBP_HC,0.2083972,0.07992007992007992
RNI-wm,EDR_EDBP,-0.06644772,0.5854145854145855
